Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,bray-p 1,0.0065,mgP/L,0.006465,Wed Oct 25 10:32:34 2023,1,1
STANDARD 90,,bray-p 1,0.0142,mgP/L,0.01421,Wed Oct 25 10:33:51 2023,1,1
STANDARD 91,,bray-p 1,0.0217,mgP/L,0.021664,Wed Oct 25 10:35:08 2023,1,1
STANDARD 92,,bray-p 1,0.0369,mgP/L,0.036906,Wed Oct 25 10:36:25 2023,1,1
STANDARD 93,,bray-p 1,0.0843,mgP/L,0.08426,Wed Oct 25 10:37:42 2023,1,1
STANDARD 94,,bray-p 1,0.1632,mgP/L,0.163241,Wed Oct 25 10:38:59 2023,1,1
STANDARD 95,,bray-p 1,0.2342,mgP/L,0.23419,Wed Oct 25 10:40:16 2023,1,1
STANDARD 96,,bray-p 1,0.3079,mgP/L,0.307928,Wed Oct 25 10:41:34 2023,1,1
STANDARD 0,,bray-p 1,0.0059,mgP/L,0.005869,Wed Oct 25 10:42:51 2023,1,1
C C V,,bray-p 1,0.4967,mgP/L,0.157883,Wed Oct 25 10:44:09 2023,1,1
C C B ,,bray-p 1,-0.0013,mgP/L,0.007321,Wed Oct 25 10:45:29 2023,1,1
T1.18 B,,bray-p 1,0.4849,mgP/L,0.154308,Wed Oct 25 10:46:48 2023,1,1
T1 21.8B,,bray-p 1,4.2228,mgP/L,0.148135,Wed Oct 25 13:44:55 2023,1,9.09
T138B,,bray-p 1,7.893,mgP/L,0.270182,Wed Oct 25 13:46:16 2023,1,9.09
T1.29.4 B,,bray-p 1,11.2544,mgP/L,0.177827,Wed Oct 25 14:45:37 2023,1,20
T1 42B,,bray-p 1,6.6805,mgP/L,0.229864,Wed Oct 25 13:48:58 2023,1,9.09
T2 20A,,bray-p 1,4.8333,mgP/L,0.168438,Wed Oct 25 13:50:19 2023,1,9.09
T1 14.20 B,,bray-p 1,0.6544,mgP/L,0.205552,Wed Oct 25 10:54:34 2023,1,1
T1.7.60B,,bray-p 1,0.7589,mgP/L,0.237123,Wed Oct 25 10:55:52 2023,1,1
